,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,PassMath
62,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5,private,5 - 10,yes
64,female,group D,some high school,standard,none,married,sometimes,yes,0,school_bus,5 - 10,no
65,male,group B,some high school,standard,none,married,never,yes,1,private,< 5,yes
66,male,group D,some high school,free/reduced,none,married,sometimes,yes,4,school_bus,5 - 10,no
67,female,group C,some college,standard,none,married,regularly,no,3,school_bus,5 - 10,yes
68,male,group B,associate's degree,free/reduced,none,divorced,regularly,no,3,school_bus,,yes
69,female,group C,associate's degree,standard,none,single,sometimes,yes,3,school_bus,5 - 10,no
71,male,group D,some college,standard,completed,divorced,sometimes,yes,3,private,> 10,yes
72,female,group A,associate's degree,free/reduced,none,single,regularly,yes,1,private,5 - 10,no
73,male,group C,some high school,free/reduced,none,divorced,never,yes,3,school_bus,5 - 10,no
74,male,group C,some high school,standard,,married,sometimes,yes,2,private,< 5,no
75,male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,,school_bus,5 - 10,no
76,male,group E,some high school,standard,none,,sometimes,no,5,school_bus,5 - 10,no
77,male,group A,,standard,completed,,regularly,yes,,,5 - 10,yes
78,female,group D,some high school,standard,completed,divorced,sometimes,yes,2,school_bus,> 10,yes
79,female,group E,master's degree,standard,none,divorced,never,yes,1,school_bus,5 - 10,yes
80,female,group B,associate's degree,standard,none,married,regularly,yes,0,private,> 10,no
81,male,group B,high school,free/reduced,none,married,sometimes,yes,0,private,,no
82,male,group A,some college,free/reduced,completed,married,sometimes,no,,school_bus,5 - 10,no
83,male,group E,associate's degree,standard,none,married,regularly,yes,0,private,5 - 10,yes
84,male,group D,high school,free/reduced,none,married,never,,3,private,5 - 10,no
85,female,group C,some college,standard,none,divorced,sometimes,yes,0,private,5 - 10,yes
86,female,group C,some college,free/reduced,none,married,sometimes,yes,,school_bus,< 5,yes
87,female,group D,associate's degree,standard,none,single,sometimes,yes,0,private,5 - 10,yes
88,female,group A,some college,standard,none,divorced,regularly,yes,3,school_bus,< 5,no
89,female,group D,some high school,standard,none,single,sometimes,yes,,private,> 10,yes
91,male,group C,high school,free/reduced,none,divorced,regularly,no,4,,5 - 10,no
92,male,group C,high school,standard,none,divorced,sometimes,no,1,,< 5,yes
93,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3,private,> 10,no
94,female,group B,some college,standard,none,married,regularly,yes,4,private,5 - 10,yes
96,male,group B,some high school,standard,completed,married,regularly,yes,5,school_bus,5 - 10,yes
97,female,,some college,standard,completed,married,never,yes,0,school_bus,< 5,no
98,female,group D,some college,free/reduced,none,single,regularly,yes,2,,> 10,yes
99,female,group D,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,yes
100,male,group B,some college,standard,none,married,sometimes,no,7,school_bus,5 - 10,yes
101,male,group D,bachelor's degree,standard,completed,single,sometimes,no,1,private,5 - 10,yes
102,female,group D,associate's degree,standard,none,married,regularly,yes,3,school_bus,5 - 10,yes
103,male,group B,high school,standard,completed,married,regularly,no,3,school_bus,5 - 10,yes
104,male,,some college,standard,completed,married,regularly,yes,1,school_bus,> 10,yes
105,female,group C,some college,standard,none,married,sometimes,yes,0,school_bus,5 - 10,no
106,female,group D,master's degree,standard,none,married,sometimes,no,3,private,5 - 10,yes
107,male,group E,,standard,completed,single,sometimes,yes,0,school_bus,5 - 10,yes
108,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,5 - 10,no
109,female,group B,some high school,standard,none,single,regularly,no,3,school_bus,5 - 10,yes
110,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4,school_bus,> 10,yes
111,male,group C,high school,standard,none,single,regularly,no,6,,5 - 10,yes
112,male,group A,associate's degree,standard,none,married,sometimes,yes,0,school_bus,5 - 10,no
113,female,group D,some college,standard,none,married,never,yes,1,school_bus,< 5,no
114,female,group E,bachelor's degree,standard,completed,married,regularly,yes,3,school_bus,< 5,yes
115,male,group C,high school,standard,none,married,sometimes,yes,4,private,5 - 10,yes
116,female,group B,bachelor's degree,free/reduced,none,single,never,no,1,school_bus,5 - 10,yes
117,female,group D,bachelor's degree,standard,none,married,never,no,2,private,5 - 10,yes
118,female,group D,some high school,standard,none,single,regularly,yes,0,private,> 10,no
119,female,group C,some college,standard,none,divorced,sometimes,no,3,school_bus,5 - 10,no
120,female,group C,bachelor's degree,standard,completed,married,never,yes,1,school_bus,5 - 10,yes
121,male,group B,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,< 5,yes
122,female,group C,some college,standard,completed,single,regularly,yes,1,,5 - 10,yes
123,male,group D,high school,free/reduced,none,married,sometimes,no,3,private,,yes
124,male,group E,some college,standard,none,single,regularly,no,3,school_bus,< 5,yes
125,female,group B,high school,standard,none,single,never,yes,2,school_bus,> 10,yes
126,male,group B,,standard,none,married,,no,3,private,5 - 10,yes
127,male,group D,some college,standard,,married,regularly,no,3,school_bus,< 5,yes
128,male,group D,master's degree,standard,none,single,never,yes,2,private,< 5,yes
129,female,group A,bachelor's degree,standard,none,,regularly,yes,0,school_bus,5 - 10,no
130,male,group D,master's degree,standard,none,single,sometimes,no,1,school_bus,< 5,yes
131,male,group C,some high school,free/reduced,completed,single,regularly,yes,1,private,< 5,no
132,male,,some college,free/reduced,completed,married,regularly,yes,2,school_bus,5 - 10,yes
133,female,,some college,standard,completed,married,never,no,6,,< 5,yes
134,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1,private,> 10,yes
135,male,group C,bachelor's degree,standard,none,married,sometimes,yes,1,,< 5,no
136,male,group B,some high school,standard,completed,divorced,sometimes,yes,1,private,5 - 10,no
137,male,group E,high school,standard,none,divorced,sometimes,yes,0,school_bus,< 5,yes
138,female,group C,associate's degree,standard,,married,sometimes,yes,1,private,5 - 10,no
139,male,group D,some college,standard,completed,married,sometimes,yes,0,private,> 10,yes
140,female,group D,some high school,standard,none,married,sometimes,no,1,school_bus,5 - 10,yes
141,female,group C,some college,free/reduced,none,married,regularly,no,2,private,5 - 10,yes
142,female,group E,some college,free/reduced,completed,single,regularly,,1,private,< 5,no
143,male,group A,high school,standard,none,single,sometimes,no,1,school_bus,5 - 10,no
144,male,group D,some college,standard,none,divorced,sometimes,yes,3,private,> 10,yes
145,female,group C,some college,free/reduced,none,single,regularly,yes,1,school_bus,< 5,no
148,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,private,< 5,yes
149,male,group E,associate's degree,free/reduced,completed,married,regularly,no,3,private,5 - 10,yes
150,male,group A,some high school,standard,completed,married,sometimes,no,2,private,5 - 10,yes
152,female,group B,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,no
153,male,group D,bachelor's degree,standard,none,married,sometimes,no,1,,5 - 10,no
154,male,group D,some high school,standard,none,single,never,no,2,,< 5,no
155,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,< 5,yes
156,female,group E,high school,free/reduced,completed,married,regularly,yes,1,school_bus,5 - 10,yes
157,male,group B,,free/reduced,none,,sometimes,yes,2,school_bus,< 5,no
158,female,group B,associate's degree,standard,,divorced,regularly,yes,2,private,5 - 10,yes
159,male,group D,associate's degree,free/reduced,none,married,regularly,no,3,school_bus,> 10,yes
160,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,5 - 10,yes
161,female,group E,some college,free/reduced,completed,married,sometimes,yes,3,school_bus,5 - 10,yes
162,male,group B,master's degree,free/reduced,none,single,never,no,2,school_bus,5 - 10,no
163,male,group C,high school,standard,none,divorced,sometimes,yes,1,school_bus,5 - 10,no
164,female,group E,master's degree,standard,none,married,never,yes,3,private,< 5,yes
165,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0,school_bus,5 - 10,yes
166,male,group C,high school,free/reduced,completed,single,sometimes,yes,5,private,5 - 10,no
167,female,group B,master's degree,free/reduced,completed,married,regularly,no,1,private,> 10,yes
168,female,group B,high school,standard,completed,married,regularly,yes,2,private,5 - 10,yes
170,male,group A,high school,standard,completed,divorced,regularly,yes,5,school_bus,> 10,yes
171,male,group E,some high school,standard,none,married,sometimes,no,3,school_bus,< 5,yes
172,female,group D,some college,standard,none,single,never,yes,3,school_bus,5 - 10,yes
173,female,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,5 - 10,yes
174,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1,school_bus,< 5,no
175,female,group C,master's degree,standard,completed,divorced,sometimes,yes,1,school_bus,5 - 10,yes
176,female,group B,high school,free/reduced,completed,married,sometimes,no,2,school_bus,< 5,no
177,female,group C,associate's degree,standard,completed,married,regularly,yes,,school_bus,< 5,yes
178,female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2,school_bus,5 - 10,no
179,female,group D,some high school,standard,completed,divorced,regularly,yes,0,school_bus,5 - 10,yes
180,male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2,private,< 5,yes
181,female,group C,some college,free/reduced,none,single,sometimes,yes,1,private,5 - 10,no
182,female,group E,high school,standard,none,married,sometimes,yes,3,private,,no
183,female,group D,associate's degree,standard,none,single,sometimes,no,,private,< 5,yes
185,male,group C,associate's degree,free/reduced,completed,married,never,yes,5,private,< 5,yes
186,male,group E,high school,standard,none,married,never,yes,1,school_bus,< 5,yes
187,male,group D,some high school,standard,completed,married,sometimes,no,4,private,5 - 10,yes
188,male,group B,some high school,free/reduced,none,married,regularly,no,3,school_bus,< 5,no
189,female,group C,bachelor's degree,standard,none,single,sometimes,yes,1,school_bus,< 5,yes
190,female,group E,associate's degree,standard,none,married,sometimes,yes,2,school_bus,5 - 10,yes
191,male,group D,some college,standard,completed,married,sometimes,no,2,school_bus,< 5,yes
192,female,group B,some high school,standard,none,single,sometimes,no,3,private,,yes
193,male,group D,some college,standard,completed,married,regularly,yes,4,,,yes
194,female,group C,master's degree,standard,completed,,regularly,yes,1,school_bus,< 5,yes
195,male,group D,associate's degree,standard,none,married,regularly,no,4,school_bus,< 5,yes
196,male,group C,,free/reduced,completed,married,never,yes,1,school_bus,5 - 10,no
197,male,group E,high school,free/reduced,none,married,,no,7,private,> 10,no
198,female,group B,some college,free/reduced,none,widowed,regularly,yes,3,,> 10,no
199,female,group B,bachelor's degree,free/reduced,,married,regularly,yes,3,private,5 - 10,yes
200,female,group C,associate's degree,standard,completed,single,regularly,no,1,private,< 5,yes
201,female,group D,some college,free/reduced,none,divorced,sometimes,yes,3,school_bus,< 5,yes
202,male,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,5 - 10,yes
203,female,,associate's degree,standard,none,,regularly,yes,2,school_bus,5 - 10,no
204,male,group C,some college,standard,none,single,regularly,yes,1,,< 5,no
205,male,group D,some high school,standard,completed,married,,yes,,school_bus,< 5,yes
206,male,group E,bachelor's degree,standard,none,married,regularly,yes,4,school_bus,5 - 10,yes
207,male,group E,high school,standard,completed,married,regularly,no,2,school_bus,5 - 10,yes
208,female,group B,some college,free/reduced,none,married,regularly,yes,1,private,< 5,yes
209,female,group B,some college,free/reduced,,single,sometimes,no,2,,,no
210,male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3,school_bus,< 5,yes
211,male,group C,some college,free/reduced,,married,sometimes,yes,3,school_bus,5 - 10,no
212,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,school_bus,5 - 10,no
213,male,group C,associate's degree,free/reduced,completed,single,regularly,no,1,school_bus,5 - 10,yes
214,male,group E,high school,standard,,married,sometimes,yes,1,private,5 - 10,yes
215,male,group B,some high school,standard,completed,,regularly,no,2,private,5 - 10,yes
216,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,< 5,yes
217,female,group C,high school,free/reduced,,married,regularly,no,3,,< 5,no
218,male,group B,high school,free/reduced,none,married,sometimes,no,2,school_bus,< 5,yes
219,male,group B,some high school,standard,completed,single,never,no,1,,5 - 10,no
220,female,group D,high school,standard,completed,widowed,regularly,yes,4,school_bus,5 - 10,no
221,male,group B,associate's degree,standard,none,married,sometimes,yes,0,school_bus,> 10,yes
222,female,group C,some high school,free/reduced,,divorced,sometimes,no,3,,5 - 10,no
223,male,group D,some high school,standard,none,married,regularly,no,3,school_bus,5 - 10,yes
224,female,group B,associate's degree,standard,completed,divorced,regularly,,3,school_bus,> 10,no
225,female,group E,master's degree,free/reduced,none,married,sometimes,no,,private,< 5,no
226,female,group C,some college,standard,none,married,sometimes,yes,5,school_bus,5 - 10,yes
227,male,group D,high school,standard,none,single,regularly,yes,0,school_bus,5 - 10,no
228,male,group A,,free/reduced,none,divorced,sometimes,no,4,school_bus,5 - 10,yes
229,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,> 10,yes
230,male,group D,some college,standard,none,married,regularly,yes,0,,5 - 10,yes
231,male,group C,associate's degree,standard,none,married,regularly,,1,private,5 - 10,no
232,female,group B,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,5 - 10,yes
233,male,group E,some high school,standard,none,divorced,sometimes,yes,3,school_bus,> 10,yes
234,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,> 10,yes
235,male,group D,associate's degree,standard,none,married,regularly,no,1,school_bus,> 10,yes
236,male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2,school_bus,< 5,yes
237,female,group D,some high school,standard,,married,sometimes,yes,4,school_bus,< 5,yes
238,male,group B,some college,standard,none,married,regularly,yes,2,private,> 10,no
239,male,group C,associate's degree,standard,none,,sometimes,yes,1,private,5 - 10,yes
240,male,group D,high school,free/reduced,completed,divorced,,yes,1,private,> 10,yes
241,female,group E,bachelor's degree,standard,none,single,regularly,no,4,private,5 - 10,yes
243,male,group E,some college,standard,,single,regularly,no,2,school_bus,< 5,no
244,male,group D,some high school,standard,none,divorced,regularly,yes,1,school_bus,< 5,yes
245,male,group C,associate's degree,standard,none,married,sometimes,no,3,private,< 5,yes
246,male,group E,associate's degree,standard,,married,regularly,no,2,school_bus,5 - 10,yes
247,female,group B,high school,standard,completed,single,sometimes,yes,1,private,5 - 10,no
248,female,group B,high school,standard,none,married,sometimes,yes,2,private,< 5,yes
249,male,,high school,standard,none,married,sometimes,no,2,school_bus,> 10,yes
250,male,group A,some high school,standard,completed,single,sometimes,yes,2,school_bus,5 - 10,no
251,female,group D,some college,free/reduced,none,married,regularly,,4,school_bus,< 5,yes
252,female,group B,some high school,standard,completed,single,sometimes,yes,3,private,5 - 10,yes
253,male,group D,master's degree,standard,none,married,sometimes,no,3,school_bus,,yes
254,male,group D,high school,standard,none,married,sometimes,yes,0,private,5 - 10,no
255,female,group E,some college,standard,none,single,sometimes,no,1,school_bus,5 - 10,yes
256,female,group C,associate's degree,free/reduced,none,single,sometimes,no,5,private,< 5,yes
257,male,,associate's degree,standard,completed,married,regularly,,1,school_bus,5 - 10,yes
260,female,group C,some high school,free/reduced,completed,married,sometimes,yes,1,private,> 10,yes
261,male,group C,some college,standard,completed,married,sometimes,no,2,school_bus,5 - 10,yes
262,female,group C,some high school,free/reduced,none,married,regularly,no,2,private,5 - 10,no
263,female,group E,high school,standard,none,single,sometimes,yes,1,private,5 - 10,yes
264,male,group D,high school,standard,none,married,sometimes,no,2,private,5 - 10,yes
265,male,group D,some high school,free/reduced,none,divorced,sometimes,no,1,school_bus,< 5,no
266,female,,bachelor's degree,standard,none,married,sometimes,no,2,school_bus,< 5,yes
267,female,group D,high school,standard,none,married,regularly,no,3,school_bus,5 - 10,yes
268,female,group D,associate's degree,standard,completed,married,regularly,yes,5,school_bus,> 10,yes
269,female,group E,some college,free/reduced,none,married,sometimes,no,2,school_bus,,yes
270,male,group C,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,5 - 10,yes
271,male,group C,some college,standard,,single,regularly,yes,1,,< 5,no
272,female,group D,associate's degree,free/reduced,none,single,regularly,yes,2,private,5 - 10,no
273,female,group D,some college,standard,none,married,sometimes,no,2,private,5 - 10,yes
274,male,group B,some college,standard,completed,widowed,,yes,1,school_bus,< 5,yes
275,male,group C,bachelor's degree,standard,none,married,sometimes,no,3,school_bus,5 - 10,yes
276,female,group C,some high school,standard,completed,married,sometimes,yes,3,private,< 5,yes
277,female,group E,,standard,completed,single,sometimes,no,4,school_bus,< 5,no
278,female,group C,some high school,free/reduced,none,married,sometimes,yes,1,school_bus,5 - 10,yes
279,male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2,school_bus,5 - 10,yes
281,male,group D,high school,standard,none,divorced,sometimes,no,,private,5 - 10,no
282,female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3,school_bus,5 - 10,yes
283,female,group D,some college,free/reduced,completed,,never,yes,2,school_bus,5 - 10,yes
284,female,,some high school,standard,none,married,regularly,yes,0,private,< 5,no
285,male,group B,associate's degree,standard,completed,married,never,yes,3,school_bus,5 - 10,yes
286,male,group E,associate's degree,standard,completed,married,regularly,yes,0,private,5 - 10,yes
287,female,group B,some high school,standard,none,married,sometimes,no,1,school_bus,< 5,yes
288,male,group B,bachelor's degree,free/reduced,none,single,sometimes,yes,0,,< 5,yes
289,male,,some high school,standard,completed,married,sometimes,yes,1,school_bus,> 10,yes
290,male,group C,associate's degree,standard,none,married,sometimes,no,2,school_bus,5 - 10,yes
291,male,group D,some high school,standard,none,married,sometimes,yes,2,private,< 5,yes
292,male,group C,some high school,standard,completed,married,never,yes,1,private,5 - 10,yes
293,female,group E,bachelor's degree,standard,none,married,sometimes,yes,,school_bus,> 10,yes
294,male,group D,high school,free/reduced,completed,single,regularly,yes,3,school_bus,5 - 10,yes
295,male,group B,associate's degree,free/reduced,none,married,never,yes,1,school_bus,> 10,yes
296,male,,some high school,standard,completed,widowed,regularly,no,2,school_bus,5 - 10,no
297,male,,associate's degree,standard,completed,single,regularly,no,1,school_bus,5 - 10,yes
298,male,group C,,free/reduced,completed,single,regularly,no,2,private,< 5,no
299,male,group D,associate's degree,free/reduced,none,married,regularly,no,2,,< 5,yes
300,male,group A,some college,free/reduced,completed,married,never,yes,2,private,< 5,yes
301,male,group D,some high school,free/reduced,,divorced,regularly,no,4,school_bus,< 5,no
302,female,group C,associate's degree,standard,completed,single,never,yes,5,school_bus,> 10,yes
303,male,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,5 - 10,yes
304,female,group C,associate's degree,standard,completed,married,regularly,yes,2,school_bus,5 - 10,yes
305,male,group A,some college,standard,none,,sometimes,yes,7,private,5 - 10,yes
306,male,group E,some college,standard,completed,divorced,regularly,yes,5,private,5 - 10,yes
307,male,group C,some high school,standard,none,single,regularly,no,2,,5 - 10,no
308,female,group B,associate's degree,free/reduced,none,married,regularly,no,3,private,> 10,no
309,female,group D,high school,free/reduced,,single,regularly,yes,5,,< 5,no
310,female,group B,associate's degree,standard,none,married,sometimes,no,2,school_bus,5 - 10,yes
311,male,group B,bachelor's degree,standard,none,married,never,yes,3,school_bus,< 5,yes
312,male,group D,bachelor's degree,standard,completed,single,sometimes,yes,0,private,,yes
313,female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,> 10,yes
315,male,group C,high school,standard,none,married,regularly,no,3,private,5 - 10,yes
316,female,group D,master's degree,standard,completed,widowed,never,yes,3,private,5 - 10,yes
317,male,group C,associate's degree,standard,none,single,sometimes,no,1,school_bus,5 - 10,yes
318,male,group B,bachelor's degree,standard,none,married,sometimes,yes,,private,< 5,yes
319,female,group D,associate's degree,free/reduced,none,single,regularly,no,1,school_bus,< 5,no
320,female,group C,high school,free/reduced,,divorced,sometimes,yes,2,,< 5,yes
321,female,group E,high school,standard,none,married,never,no,3,private,> 10,yes
322,female,group C,some college,standard,none,married,regularly,yes,2,private,< 5,yes
323,female,group C,some high school,free/reduced,none,married,sometimes,yes,5,private,5 - 10,no
324,female,group C,high school,free/reduced,none,divorced,sometimes,no,1,,< 5,no
325,female,group C,some college,standard,none,single,sometimes,yes,3,school_bus,5 - 10,yes
326,male,group C,some college,standard,none,married,sometimes,yes,1,school_bus,5 - 10,yes
327,male,group A,some college,free/reduced,none,married,regularly,yes,2,school_bus,> 10,no
328,male,group C,associate's degree,standard,completed,married,sometimes,yes,5,school_bus,5 - 10,yes
329,female,group B,some high school,standard,none,married,sometimes,yes,2,school_bus,< 5,no
330,male,group C,high school,standard,none,single,regularly,yes,,school_bus,< 5,yes
331,male,group C,associate's degree,standard,none,,sometimes,no,3,private,< 5,no
332,male,group E,associate's degree,standard,completed,married,never,no,3,school_bus,> 10,yes
333,male,group B,associate's degree,standard,none,single,sometimes,yes,1,school_bus,5 - 10,yes
334,female,group C,bachelor's degree,standard,none,,sometimes,yes,1,,,yes
335,female,group B,some college,free/reduced,none,married,regularly,yes,2,,5 - 10,yes
336,male,group D,some high school,standard,completed,married,regularly,no,,private,5 - 10,yes
337,male,group C,associate's degree,standard,none,single,regularly,yes,2,,5 - 10,no
338,female,group B,some high school,free/reduced,none,single,sometimes,no,3,school_bus,< 5,no
339,female,group D,some high school,free/reduced,completed,married,sometimes,yes,3,school_bus,5 - 10,no
340,male,group C,high school,free/reduced,none,married,regularly,yes,1,school_bus,> 10,yes
341,female,group C,,standard,none,married,regularly,yes,0,,5 - 10,yes
342,female,group B,,standard,completed,single,sometimes,yes,1,school_bus,< 5,yes
343,male,group D,associate's degree,standard,completed,single,sometimes,yes,3,private,< 5,yes
344,male,group D,some college,standard,none,,regularly,yes,2,school_bus,< 5,yes
345,female,group C,high school,standard,none,married,sometimes,yes,4,private,5 - 10,yes
346,male,group B,,standard,none,married,sometimes,no,2,school_bus,5 - 10,yes
347,female,group C,bachelor's degree,standard,completed,married,regularly,yes,0,,< 5,yes
349,male,group E,associate's degree,standard,none,divorced,regularly,yes,2,private,> 10,yes
350,female,group B,bachelor's degree,standard,none,married,sometimes,yes,0,private,5 - 10,no
351,male,group E,some college,standard,none,married,,no,4,school_bus,> 10,yes
352,female,group C,some college,standard,completed,married,sometimes,no,1,school_bus,< 5,yes
353,female,group C,associate's degree,standard,none,married,regularly,no,1,private,< 5,no
354,female,group C,some college,standard,none,married,never,yes,2,,< 5,no
355,female,group B,bachelor's degree,standard,none,single,regularly,no,3,school_bus,> 10,yes
356,male,group A,,standard,none,married,sometimes,no,2,private,5 - 10,yes
357,female,group C,some college,free/reduced,completed,married,sometimes,yes,1,private,< 5,no
359,female,group D,some college,standard,none,divorced,sometimes,no,1,private,< 5,yes
360,female,group B,high school,standard,none,married,never,yes,1,school_bus,5 - 10,no
361,male,group B,some high school,standard,completed,single,regularly,yes,3,private,5 - 10,yes
362,female,group C,some college,standard,none,single,regularly,no,2,private,5 - 10,no
363,female,group D,some high school,free/reduced,none,single,sometimes,no,3,school_bus,< 5,no
364,male,group C,some college,standard,none,divorced,regularly,yes,1,school_bus,5 - 10,yes
365,male,group A,bachelor's degree,free/reduced,completed,married,regularly,no,2,private,> 10,no
366,male,group C,high school,standard,completed,married,sometimes,yes,2,,5 - 10,yes
367,male,group C,bachelor's degree,free/reduced,none,married,regularly,,3,private,> 10,yes
368,female,group A,some high school,free/reduced,none,single,sometimes,yes,2,private,5 - 10,no
